source,track_uri,track_name,artist_name,artist_popularity,artist_genres,album,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
playlist,spotify:track:1eFH9kh7L63Zb8FDqjbwZJ,Char Baj Gaye - Party Abhi Baaki Hai,Sachin-Jigar,74,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']",F.A.L.T.U (Original Motion Picture Soundtrack),50,0.95,0.694,10,-7.089,0,0.0516,0.0317,1.93E-06,0.137,0.961,119.972,audio_features,1eFH9kh7L63Zb8FDqjbwZJ,spotify:track:1eFH9kh7L63Zb8FDqjbwZJ,https://api.spotify.com/v1/tracks/1eFH9kh7L63Zb8FDqjbwZJ,https://api.spotify.com/v1/audio-analysis/1eFH9kh7L63Zb8FDqjbwZJ,213880,4
playlist,spotify:track:3G5bDcWXNRcNZjU8gNiLgS,Ang Laga De,Aditi Paul,46,[],Goliyon Ki Raasleela Ram-Leela (Original Motion Picture Soundtrack),49,0.549,0.534,5,-7.75,0,0.0358,0.224,0.00474,0.0941,0.209,147.807,audio_features,3G5bDcWXNRcNZjU8gNiLgS,spotify:track:3G5bDcWXNRcNZjU8gNiLgS,https://api.spotify.com/v1/tracks/3G5bDcWXNRcNZjU8gNiLgS,https://api.spotify.com/v1/audio-analysis/3G5bDcWXNRcNZjU8gNiLgS,327162,4
playlist,spotify:track:1sxh0eqIb8ulYypPuq6ZRu,"Bhaag D.K. Bose, Aandhi Aayi",Ram Sampath,66,"['filmi', 'modern bollywood']",Delhi Belly (Original Motion Picture Soundtrack),49,0.66,0.926,11,-3.452,0,0.0296,0.0948,0,0.248,0.731,109.997,audio_features,1sxh0eqIb8ulYypPuq6ZRu,spotify:track:1sxh0eqIb8ulYypPuq6ZRu,https://api.spotify.com/v1/tracks/1sxh0eqIb8ulYypPuq6ZRu,https://api.spotify.com/v1/audio-analysis/1sxh0eqIb8ulYypPuq6ZRu,241305,4
playlist,spotify:track:2OO4O891305DyfuT4tCnBn,Badass Babuaa,Sameer Uddin,38,[],Bareilly Ki Barfi (Original Motion Picture Soundtrack),18,0.731,0.479,1,-12.977,1,0.0781,0.0663,0.00246,0.556,0.5,158.034,audio_features,2OO4O891305DyfuT4tCnBn,spotify:track:2OO4O891305DyfuT4tCnBn,https://api.spotify.com/v1/tracks/2OO4O891305DyfuT4tCnBn,https://api.spotify.com/v1/audio-analysis/2OO4O891305DyfuT4tCnBn,167565,4
playlist,spotify:track:1bHBYJjUYYbUnwKYCFxV1F,"Party All Night (From ""Boss"")",Yo Yo Honey Singh,71,"['filmi', 'hindi hip hop', 'modern bollywood']",Yo Yo Honey Singh Is Back,54,0.854,0.738,6,-5.388,0,0.231,0.203,0,0.298,0.804,129.989,audio_features,1bHBYJjUYYbUnwKYCFxV1F,spotify:track:1bHBYJjUYYbUnwKYCFxV1F,https://api.spotify.com/v1/tracks/1bHBYJjUYYbUnwKYCFxV1F,https://api.spotify.com/v1/audio-analysis/1bHBYJjUYYbUnwKYCFxV1F,282793,4
playlist,spotify:track:1cSgKCsIM5WCzlLgRkY0Ov,Sukoon Mila,Arijit Singh,88,"['filmi', 'modern bollywood']",Long Drive (Bollywood Mix),46,0.635,0.376,9,-8.356,1,0.0296,0.561,0,0.0919,0.522,123.947,audio_features,1cSgKCsIM5WCzlLgRkY0Ov,spotify:track:1cSgKCsIM5WCzlLgRkY0Ov,https://api.spotify.com/v1/tracks/1cSgKCsIM5WCzlLgRkY0Ov,https://api.spotify.com/v1/audio-analysis/1cSgKCsIM5WCzlLgRkY0Ov,200438,4
playlist,spotify:track:3szxldqiYs7nkvtmooRod8,Oo Antava Oo Oo Antava,Indravathi Chauhan,43,[],Pushpa - The Rise,53,0.925,0.739,5,-6.724,0,0.104,0.34,0.0733,0.366,0.508,127.97,audio_features,3szxldqiYs7nkvtmooRod8,spotify:track:3szxldqiYs7nkvtmooRod8,https://api.spotify.com/v1/tracks/3szxldqiYs7nkvtmooRod8,https://api.spotify.com/v1/audio-analysis/3szxldqiYs7nkvtmooRod8,223326,4
playlist,spotify:track:2YmXGUx32C3CUEgcAyHcGf,Srivalli,Devi Sri Prasad,68,['tollywood'],Pushpa - The Rise,50,0.82,0.581,4,-5.655,1,0.0438,0.494,0,0.362,0.681,106.965,audio_features,2YmXGUx32C3CUEgcAyHcGf,spotify:track:2YmXGUx32C3CUEgcAyHcGf,https://api.spotify.com/v1/tracks/2YmXGUx32C3CUEgcAyHcGf,https://api.spotify.com/v1/audio-analysis/2YmXGUx32C3CUEgcAyHcGf,221000,4
playlist,spotify:track:604BDNGxzL9IyKMFODcZpV,Show Me,Natania,33,['indian edm'],Wedding Season (Soundtrack from the Netflix Film),16,0.78,0.889,11,-3.181,0,0.0453,0.0147,0,0.067,0.88,140.003,audio_features,604BDNGxzL9IyKMFODcZpV,spotify:track:604BDNGxzL9IyKMFODcZpV,https://api.spotify.com/v1/tracks/604BDNGxzL9IyKMFODcZpV,https://api.spotify.com/v1/audio-analysis/604BDNGxzL9IyKMFODcZpV,164453,4
playlist,spotify:track:1sbW5E7w8tnqpYk0Frx8QG,Maahi Ve,A.R. Rahman,77,['filmi'],Highway,60,0.604,0.72,5,-7.276,1,0.0603,0.571,1.18E-05,0.12,0.528,130.995,audio_features,1sbW5E7w8tnqpYk0Frx8QG,spotify:track:1sbW5E7w8tnqpYk0Frx8QG,https://api.spotify.com/v1/tracks/1sbW5E7w8tnqpYk0Frx8QG,https://api.spotify.com/v1/audio-analysis/1sbW5E7w8tnqpYk0Frx8QG,240784,4
